alpha,beta,status,anal_norm_hs,anal_norm_ps,anal_norm_md,total_analytical_score,scaled_hs,scaled_ps,scaled_md,total_scaled_score,raw_hs,raw_ps,raw_md
1.400000,1.500000,success,-13.009467,-223.920985,-3.868695,-332.301889,0.564683,0.988776,0.519334,2.727970,2080978.000000,11224,16.500000
1.500000,0.500000,success,-11.981624,-226.596585,-4.477877,-354.115440,0.559623,0.989355,0.522374,2.304842,2094330.000000,10824,14.500000
1.500000,0.600000,success,-12.165223,-224.870823,-4.173286,-351.975429,0.560528,0.988985,0.520854,2.356518,2091945.000000,11082,15.500000
1.500000,0.700000,success,-11.748066,-227.720337,-4.173286,-356.249872,0.558472,0.989589,0.520854,2.407453,2097364.000000,10656,15.500000
1.500000,0.800000,success,-12.046904,-224.737043,-4.173286,-352.491097,0.559945,0.988956,0.520854,2.460062,2093482.000000,11102,15.500000
1.500000,0.900000,success,-12.379305,-226.757121,-3.868695,-355.996813,0.561582,0.989388,0.519334,2.513065,2089164.000000,10800,16.500000
1.500000,1.000000,success,-12.331654,-225.446077,-3.868695,-354.369465,0.561348,0.989110,0.519334,2.564346,2089783.000000,10996,16.500000
1.500000,1.100000,success,-12.373378,-225.218651,-3.868695,-354.456919,0.561553,0.989060,0.519334,2.616411,2089241.000000,11030,16.500000
1.500000,1.200000,success,-12.146439,-226.181867,-4.173286,-356.427183,0.560435,0.989267,0.520854,2.669361,2092189.000000,10886,15.500000
1.500000,1.300000,success,-12.273226,-225.178517,-3.868695,-355.070306,0.561060,0.989052,0.519334,2.719772,2090542.000000,11036,16.500000
1.500000,1.400000,success,-12.240740,-225.941063,-4.173286,-356.994936,0.560900,0.989216,0.520854,2.773919,2090964.000000,10922,15.500000
1.500000,1.500000,success,-12.196015,-227.118327,-3.868695,-358.676549,0.560680,0.989464,0.519334,2.823876,2091545.000000,10746,16.500000
