alpha,beta,status,emp_norm_hs,emp_norm_ps,emp_norm_md,norm_hs,norm_ps,norm_md,total_norm_score,empirical_score,raw_hs,raw_ps,raw_md
1.200000,1.300000,success,106.440275,105.114679,5.904933,0.419265,0.061111,0.155779,0.695111,571374.150000,559006.000000,10290,15.500000
1.200000,1.400000,success,108.185191,107.934082,5.143006,0.426138,0.064798,0.135678,0.693845,580868.100000,568170.000000,10566,13.500000
1.200000,1.500000,success,106.406572,105.441566,5.904933,0.419132,0.063157,0.155779,0.728588,571238.650000,558829.000000,10322,15.500000
1.300000,0.500000,success,108.239648,102.601733,5.904933,0.426353,0.055530,0.155779,0.576431,581520.950000,568456.000000,10044,15.500000
1.300000,0.600000,success,107.607107,104.522196,5.904933,0.423861,0.061490,0.155779,0.597265,578444.900000,565134.000000,10232,15.500000
1.300000,0.700000,success,107.459539,102.806038,5.904933,0.423280,0.056338,0.155779,0.605565,577453.050000,564359.000000,10064,15.500000
1.300000,0.800000,success,108.831442,101.845807,5.523969,0.428684,0.056439,0.145729,0.618638,584536.600000,571564.000000,9970,14.500000
1.300000,0.900000,success,108.735095,103.868422,5.523969,0.428304,0.057045,0.145729,0.633619,584289.450000,571058.000000,10168,14.500000
1.300000,1.000000,success,108.329712,101.232893,5.904933,0.426707,0.054747,0.155779,0.653658,581827.500000,568929.000000,9910,15.500000
1.300000,1.100000,success,108.526215,103.418952,5.523969,0.427481,0.055354,0.145729,0.659743,583138.150000,569961.000000,10124,14.500000
1.300000,1.200000,success,108.470044,103.950143,5.523969,0.427260,0.058308,0.145729,0.677935,582912.200000,569666.000000,10176,14.500000
1.300000,1.300000,success,108.728621,104.767361,5.143006,0.428279,0.056061,0.135678,0.677539,584374.350000,571024.000000,10256,13.500000
1.300000,1.400000,success,108.501462,103.092064,5.523969,0.427384,0.056843,0.145729,0.705300,582970.900000,569831.000000,10092,14.500000
1.300000,1.500000,success,109.009666,102.499581,5.523969,0.429386,0.056919,0.145729,0.721974,585565.950000,572500.000000,10034,14.500000
1.400000,0.500000,success,109.286522,99.700609,5.904933,0.430476,0.052727,0.155779,0.582184,587625.750000,573954.000000,9760,15.500000
1.400000,0.600000,success,109.466459,100.640410,5.904933,0.431185,0.052525,0.155779,0.598188,588701.100000,574899.000000,9852,15.500000
1.400000,0.700000,success,109.330507,100.803854,5.904933,0.430650,0.053258,0.155779,0.614255,588011.050000,574185.000000,9868,15.500000
1.400000,0.800000,success,109.200457,101.355476,5.523969,0.430137,0.054116,0.145729,0.622483,587404.400000,573502.000000,9922,14.500000
1.400000,0.900000,success,109.774352,102.458720,5.143006,0.432398,0.054040,0.135678,0.630165,590570.150000,576516.000000,10030,13.500000
1.400000,1.000000,success,109.426473,101.314615,5.523969,0.431028,0.054040,0.145729,0.652413,588588.700000,574689.000000,9918,14.500000
1.400000,1.100000,success,110.031215,101.273754,5.143006,0.433410,0.053359,0.135678,0.657358,591759.450000,577865.000000,9914,13.500000
1.400000,1.200000,success,110.064156,101.151171,5.143006,0.433539,0.052449,0.135678,0.669783,591917.000000,578038.000000,9902,13.500000
1.400000,1.300000,success,109.817004,100.150079,5.523969,0.432566,0.052172,0.145729,0.695053,590484.450000,576740.000000,9804,14.500000
1.400000,1.400000,success,110.525710,100.987728,5.143006,0.435357,0.051692,0.135678,0.697676,594321.300000,580462.000000,9886,13.500000
1.400000,1.500000,success,109.995228,101.110310,5.523969,0.433268,0.052525,0.145729,0.725396,591554.950000,577676.000000,9898,14.500000
1.500000,0.500000,success,110.684321,97.718855,5.523969,0.435982,0.047753,0.145729,0.580475,595651.250000,581295.000000,9566,14.500000
1.500000,0.600000,success,110.347486,97.943590,5.904933,0.434655,0.049394,0.155779,0.602214,593917.300000,579526.000000,9588,15.500000
1.500000,0.700000,success,110.716310,95.267201,5.904933,0.436263,0.046086,0.155779,0.614437,595462.850000,581463.000000,9326,15.500000
1.500000,0.800000,success,110.630245,96.615611,5.904933,0.436122,0.047273,0.155779,0.631654,595210.400000,581011.000000,9458,15.500000
1.500000,0.900000,success,110.792283,99.169417,5.523969,0.436528,0.048763,0.145729,0.640828,596437.050000,581862.000000,9708,14.500000
1.500000,1.000000,success,110.965366,98.903822,5.523969,0.437089,0.049192,0.145729,0.656606,597308.500000,582771.000000,9682,14.500000
1.500000,1.100000,success,111.356087,100.170510,5.523969,0.438628,0.050278,0.145729,0.674346,599547.950000,584823.000000,9806,14.500000
1.500000,1.200000,success,111.425206,97.902729,5.143006,0.438900,0.047904,0.135678,0.673571,599578.200000,585186.000000,9584,13.500000
1.500000,1.300000,success,110.920429,96.533889,5.523969,0.437033,0.047551,0.145729,0.697806,596728.850000,582535.000000,9450,14.500000
1.500000,1.400000,success,111.461193,98.781239,5.143006,0.439042,0.050631,0.135678,0.704939,599898.900000,585375.000000,9670,13.500000
1.500000,1.500000,success,111.048956,98.781239,5.143006,0.437541,0.049141,0.135678,0.714770,597735.250000,583210.000000,9670,13.500000
